Recipe_ID,calories,Total Fat,Saturated Fat,Cholesterol,Sodium,Potassium,Total Carbohydrates,Dietary Fiber,Protein,Sugars,Vitamin A,Vitamin C,Calcium,Iron,Thiamin,Niacin,Vitamin B6,Magnesium,Folate
53604,273.0,5.1,1.0,36,286,821,29.9,4.7,27.7,3,1011,24,119,2,0,13,1,146,37
278965,313.0,10.4,4.0,36,531,709,36.2,4.4,20,5,1551,63,101,3,0,7,1,53,85
231814,589.0,31.5,8.0,56,1591,634,47.8,3.8,27,4,623,18,138,3,0,8,1,51,107
16530,542.0,20.3,11.0,44,700,1076,73.6,7.4,17.9,3,621,46,125,4,1,7,1,70,104
274968,275.0,6.5,2.0,56,770,656,33.4,7.7,22.3,5,1869,17,70,4,0,8,0,54,101
261536,506.0,34.6,21.0,96,763,354,28.3,4.8,23.4,1,1276,9,636,2,0,4,0,57,17
13963,151.0,1.2,0.0,0,609,313,29.7,6.4,7,4,1765,10,68,2,0,2,0,29,25
238378,526.0,18,4.0,47,293,1167,62.3,13.7,33.2,8,565,30,159,3,0,9,1,132,110
20865,207.0,7.7,4.0,14,508,216,26,3.9,9.4,2,867,26,162,2,0,2,0,23,69
108422,682.0,22.1,6.0,66,1305,849,82.1,6.8,36.9,6,1882,75,215,6,1,25,1,76,189
69844,318.0,24.6,5.0,34,83,270,5.6,0.4,18.6,4,384,4,23,1,0,7,0,18,12
25918,350.0,16.1,6.0,26,13,268,46.4,2.4,5.1,2,914,60,36,2,0,3,0,29,99
220872,341.0,15.6,6.0,48,579,490,36.4,3.1,13.7,3,761,21,54,3,0,8,0,40,113
245792,618.0,33,15.0,112,860,383,39,2.6,39.6,2,1467,6,518,4,0,16,0,55,105
77284,368.0,14.8,8.0,103,1105,439,24.6,2,35.2,4,1591,52,277,6,0,22,1,45,92
261972,452.0,19.4,9.0,77,943,885,43.6,8.4,27.7,2,1403,20,296,5,0,8,1,119,117
278628,178.0,5.1,1.0,68,635,410,5.5,1.5,27,2,438,2,35,1,0,13,0,34,6
235349,199.0,13,2.0,0,392,273,11.4,0.7,10.9,2,245,2,78,2,0,3,0,49,18
216620,363.0,25.5,9.0,104,607,512,2.5,0.9,29.3,1,88,2,60,3,1,11,0,30,13
242418,458.0,14.4,4.0,52,2256,1313,54.8,12.6,29.9,10,1190,36,166,6,0,14,1,151,140
266528,195.0,14.7,5.0,52,249,140,1.3,0.3,13.4,0,24,1,18,2,0,4,0,13,3
257368,389.0,11,2.0,0,463,1155,61.8,17.9,16.8,7,1186,25,109,6,0,6,1,117,273
273686,309.0,17.7,3.0,67,549,431,11.8,0.6,26.7,1,39,8,49,8,0,16,1,38,9
192599,455.0,21.1,3.0,0,604,1105,70.1,19.1,13.8,5,1670,31,98,4,0,6,1,107,168
223009,629.0,40.6,19.0,107,1256,264,36.2,1.9,30.7,3,692,0,392,2,0,7,0,25,16
263119,167.0,6.5,1.0,24,240,203,21.3,2.7,7.4,2,112,12,47,1,0,2,0,30,27
260288,220.0,3.3,1.0,0,761,284,42.4,7.8,11.6,2,671,27,40,3,0,2,0,50,53
228966,326.0,20.6,11.0,0,325,501,23.7,3.6,17.3,14,1788,28,730,12,0,5,0,77,55
255595,269.0,8.2,2.0,68,1519,882,27.2,5.9,22.8,9,14844,41,141,6,0,10,1,72,53
70865,332.0,22,8.0,65,731,263,13,1.8,20.7,1,239,0,197,1,0,8,0,39,7
242292,203.0,9.9,4.0,36,797,149,13.7,0.9,14.6,0,254,0,84,1,0,6,0,26,16
256578,404.0,5.2,2.0,43,225,1116,64.6,10.3,27.8,27,1846,61,231,5,1,14,1,122,167
213659,738.0,48.2,16.0,133,841,1118,43.2,10,37.8,4,840,13,369,4,0,14,1,109,132
220773,347.0,16,6.0,49,801,320,31.9,3.7,17.5,2,112,3,131,3,0,7,0,43,47
263793,482.0,21.2,7.0,77,607,310,43.9,4.5,29.6,6,973,19,119,3,0,4,0,27,83
263108,830.0,45.1,7.0,266,3350,1531,59.3,8.7,48.1,20,5465,89,145,8,1,18,1,119,169
260317,597.0,21.2,4.0,0,962,1100,85.2,12.3,22.2,2,6,45,90,3,0,5,1,108,40
230831,323.0,5.2,2.0,6,597,687,61.6,9.9,12.3,1,499,10,197,3,0,5,0,109,80
237841,173.0,9.3,4.0,50,48,331,6.5,0.9,15.1,0,10,7,15,2,0,6,0,21,12
263120,209.0,7.8,4.0,42,407,464,18.3,2.9,17.2,2,964,15,159,1,0,3,0,50,28
260306,425.0,13.7,2.0,0,109,1230,64.7,10.7,14.5,12,15652,33,121,3,0,12,0,111,55
255628,412.0,24.7,2.0,0,69,1006,61.1,8.4,16.6,5,245,63,78,2,0,4,1,88,45
268971,152.0,6.2,3.0,11,351,385,21.9,3.7,4,4,669,8,53,1,0,3,0,34,39
