Recipe_ID,calories,TotalFat,SaturatedFat,Cholesterol,Sodium,Potassium,TotalCarbohydrates,DietaryFiber,Protein,Sugars,VitaminA,VitaminC,Calcium,Iron,Thiamin,Niacin,VitaminB6,Magnesium,Folate
26303,293.0,7.8,1.0,0,318,434,47.6,3.2,8.6,5,422,7,26,3,1,7,0,43,138
13891,397.0,8.3,5.0,19,311,354,59.5,3.3,20.2,3,682,6,253,3,1,10,0,58,192
270294,403.0,20.8,8.0,55,1008,463,35.7,3.9,18.3,5,215,37,65,3,1,9,0,47,137
146873,920.0,44.5,7.0,162,869,1284,87.6,8.7,43.7,13,3990,32,572,8,1,17,1,127,235
260356,666.0,40.2,20.0,112,716,991,59.4,5.8,19.8,12,2506,47,368,3,1,10,1,89,224
12020,729.0,42.4,15.0,63,968,584,71.7,5.0,16.9,9,1882,14,229,5,1,11,0,71,208
231976,540.0,11.4,2.0,33,1006,658,77.9,3.8,32.9,11,100,5,166,5,0,11,0,865,20
237912,584.0,41.4,6.0,0,886,228,45.6,2.8,8.1,3,140,3,56,13,1,6,0,47,138
19294,798.0,28.2,9.0,39,752,1099,106.7,8.8,25.5,6,2065,24,114,7,2,18,1,118,309
236196,807.0,37.6,10.0,34,1279,1303,88.5,14.3,35.6,25,1482,8,388,7,0,22,1,209,88
259299,604.0,28.9,15.0,258,179,232,47.1,2.4,33.6,2,1809,3,201,4,1,11,0,43,152
236676,758.0,21.1,3.0,0,54,431,130.5,4.2,13.5,2,1010,32,18,2,0,2,0,40,34
234650,430.0,16.3,6.0,106,208,395,48.3,4.1,22.3,3,1552,26,124,5,0,8,0,64,146
19292,457.0,20.2,10.0,38,518,538,56.9,7.5,14.4,6,1291,54,94,4,1,11,0,45,156
81304,251.0,3.5,1.0,2,151,70,46.4,3.2,8.2,2,18,2,39,2,0,3,0,29,100
152329,890.0,15.9,6.0,154,2013,809,116.4,4.4,68.1,31,213,3,69,6,1,45,1,125,282
278316,466.0,17.0,5.0,60,806,920,56.8,5.4,22.7,10,2189,32,123,5,1,13,0,72,170
232588,929.0,45.3,9.0,78,319,388,104.3,5.0,25.2,5,349,3,100,6,1,16,0,84,298
14124,279.0,1.6,0.0,0,468,496,57.8,4.4,10.3,6,2838,16,33,3,1,7,0,52,175
46733,504.0,11.4,3.0,66,899,786,72.0,3.7,28.5,26,701,28,86,5,0,14,1,63,117
217380,926.0,30.3,11.0,149,802,1344,100.4,7.1,60.6,10,6056,12,100,10,1,30,1,120,294
278805,692.0,21.5,2.0,0,1815,816,85.9,8.4,14.2,11,469,25,110,6,1,11,0,82,232
257751,662.0,19.6,10.0,269,691,657,73.0,4.4,47.8,8,1083,4,410,7,0,17,0,64,100
204778,466.0,23.5,7.0,120,1121,499,44.5,8.3,20,8,852,13,399,3,0,7,0,44,111
53075,370.0,18.6,10.0,55,848,452,31.6,5.4,19.6,3,938,10,324,3,0,7,0,50,61
260696,101.0,5.2,3.0,34,308,243,5.3,1.9,9,2,190,33,241,1,0,2,0,18,44
233222,125.0,5.8,2.0,7,439,57,13.8,0.4,4.3,3,109,1,75,1,0,2,0,7,17
222587,440.0,28.2,10.0,43,627,446,32.5,2.5,14.4,3,379,17,274,2,0,4,0,31,21
24372,83.0,0.6,0.0,0,196,115,17.4,2.9,3.5,2,2,0,9,1,0,3,0,34,29
23702,235.0,13.1,5.0,24,758,40,16.4,0.8,11,4,369,5,238,1,0,2,0,8,3
258220,327.0,15.4,7.0,46,681,113,32,1,14.5,5,425,1,169,2,0,3,0,15,16
57243,457.0,21.9,7.0,61,767,151,37.9,2.9,29.7,2,332,8,213,1,0,7,0,22,7
26897,287.0,12.9,4.0,19,585,78,31,1.9,11.6,5,226,1,164,2,0,1,0,17,11
273070,336.0,24.3,8.0,77,639,115,8.5,3.6,22,2,430,1,481,1,0,5,0,18,41
244636,385.0,25.6,17.0,98,609,173,6.4,0.5,31,1,812,9,670,0,0,5,0,26,16
231803,324.0,12.2,4.0,74,754,298,27.1,9,32.9,10,466,4,246,1,0,12,0,32,15
218720,341.0,14.4,7.0,55,787,234,29,2.5,22.3,2,595,6,348,3,0,8,0,27,50
215435,426.0,28.2,11.0,44,1135,98,24.3,0.2,16.1,5,176,2,183,1,0,4,0,11,3
14873,75.0,4.8,3.0,15,164,57,6,0.7,1.8,1,1116,9,18,0,0,1,0,3,6
259219,560.0,23.7,8.0,219,862,332,67.7,3.3,27.8,3,749,6,153,2,0,5,0,22,38
281041,331.0,12.2,6.0,48,930,137,33.9,5.6,21.3,6,358,6,348,1,0,4,0,18,6
244459,433.0,27.1,17.0,85,1141,296,21.5,1.2,26.1,3,895,14,459,2,0,5,0,21,13
228416,411.0,19.7,11.0,56,897,199,39.3,1.3,18.5,7,593,0,340,2,0,4,0,33,47
229489,326.0,19.6,10.0,180,772,254,15.2,0.3,22.6,3,942,2,454,2,0,6,0,29,40
32148,378.0,10.3,5.0,53,793,223,50,1.5,22.3,22,428,2,129,1,0,6,0,23,10
235657,69.0,3.6,0.0,0,82,451,8.3,3.8,3,4,152,67,35,1,0,1,0,23,82
